10029,0,0000000000000000000
10030,1,0000000001000000000
10031,0,0000000000000000000
10032,2,0000000101010000000
10037,3,0000000100010000000
10038,4,1100001101111000000
10047,5,0001000110001000000
10048,0,0000000000000000000
10080,0,0000000000000000000
10081,6,0000000101001000000
10099,3,0000000100010000000
10100,4,1100001101111000000
10101,7,1100001100111000000
10102,0,0000000000000000000
10111,8,0001000100001000000
10112,0,0000000000000000000
10117,9,0001000101010000000
10118,1,0000000001000000000
10141,5,0001000110001000000
10142,0,0000000000000000000
10151,0,0000000000000000000
10152,9,0001000101010000000
10153,0,0000000000000000000
10154,0,0000000000000000000
10155,0,0000000000000000000
10156,10,0000000100001000000
10169,11,0101001101010000000
10170,12,0101001101011010000
10181,0,0000000000000000000
10182,13,0001000101010100000
10199,0,0000000000000000000
10200,2,0000000101010000000
10204,3,0000000100010000000
10205,14,0100000100010000000
10208,15,0101001101011000000
10209,0,0000000000000000000
10210,0,0000000000000000000
10211,10,0000000100001000000
10212,16,1100001100110000000
10213,3,0000000100010000000
10216,17,0000010100011000000
10217,18,0001000100010000000
10218,17,0000010100011000000
10219,19,0001001101010000000
10220,0,0000000000000000000
10221,0,0000000000000000000
10222,20,0001000111001100000
10223,0,0000000000000000000
10230,0,0000000000000000000
10231,0,0000000000000000000
10236,0,0000000000000000000
10237,21,0001000000000000000
10252,0,0000000000000000000
10253,19,0001001101010000000
10262,15,0101001101011000000
10263,22,0101000101011000000
10264,0,0000000000000000000
10265,23,1100001100111100000
10282,5,0001000110001000000
10283,0,0000000000000000000
10288,11,0101001101010000000
10289,24,0001010100010000000
10297,0,0000000000000000000
10299,6,0000000101001000000
10304,0,0000000000000000000
10305,0,0000000000000000000
10318,8,0001000100001000000
10319,0,0000000000000000000
10326,0,0000000000000000000
10329,0,0000000000000000000
10334,0,0000000000000000000
10335,2,0000000101010000000
10369,18,0001000100010000000
10370,4,1100001101111000000
10389,0,0000000000000000000
10391,0,0000000000000000000
10392,21,0001000000000000000
10401,3,0000000100010000000
10402,15,0101001101011000000
10404,0,0000000000000000000
10421,5,0001000110001000000
10422,0,0000000000000000000
10434,0,0000000000000000000
10435,25,0000000101011100000
10452,0,0000000000000000000
10453,26,0000000100001010000
10482,0,0000000000000000000
10483,0,0000000000000000000
10508,3,0000000100010000000
10509,7,1100001100111000000
10512,27,0001000100001100000
10513,0,0000000000000000000
10530,28,0101000101010000000
10531,12,0101001101011010000
10534,11,0101001101010000000
10535,3,0000000100010000000
10691,29,0101000100010000000
10692,16,1100001100110000000
10693,0,0000000000000000000
10694,10,0000000100001000000
10734,21,0001000000000000000
10735,0,0000000000000000000
10752,28,0101000101010000000
10753,15,0101001101011000000
10764,30,0000000000000010000
10765,3,0000000100010000000
10768,11,0101001101010000000
10769,31,0000010100011010000
10770,32,0001000000000010000
10771,0,0000000000000000000
10780,0,0000000000000000000
10781,0,0000000000000000000
10783,0,0000000000000000000
10784,1,0000000001000000000
10809,0,0000000000000000000
10810,0,0000000000000000000
10811,0,0000000000000000000
10812,33,0000000001000100000
10845,0,0000000000000000000
10846,34,0000000100011000000
10857,16,1100001100110000000
10858,31,0000010100011010000
10859,15,0101001101011000000
10860,18,0001000100010000000
10861,35,0000011000000000000
10862,0,0000000000000000000
10901,0,0000000000000000000
10902,0,0000000000000000000
10903,0,0000000000000000000
10904,0,0000000000000000000
10910,0,0000000000000000000
10911,2,0000000101010000000
10918,0,0000000000000000000
10919,1,0000000001000000000
10924,3,0000000100010000000
10925,4,1100001101111000000
10929,3,0000000100010000000
10930,36,0101001101010100000
10962,5,0001000110001000000
10963,0,0000000000000000000
10964,0,0000000000000000000
10965,8,0001000100001000000
10974,0,0000000000000000000
10975,0,0000000000000000000
10981,0,0000000000000000000
10982,6,0000000101001000000
11001,37,1100001100110100000
11002,24,0001010100010000000
11017,22,0101000101011000000
